trial,block,stimId1,stimID2,category1,category2,response,rt,condition,id,phase
14,11,C1250,B850,Gamma,Beta,3.0,292,2,12197,similarity
13,12,C1150,A50,Gamma,Alpha,3.0,261,2,12197,similarity
14,12,C1150,B850,Gamma,Beta,3.0,332,2,12197,similarity
14,13,A50,B850,Alpha,Beta,3.0,279,2,12197,similarity
1,0,A450,C1250,Gamma,Gamma,0.9999999999999998,23468,2,12219,similarity
2,0,A450,C1050,Alpha,Gamma,0.9999999999999998,5612,2,12219,similarity
3,0,A450,A350,Alpha,Alpha,5.0,9785,2,12219,similarity
4,0,A450,A250,Alpha,Alpha,5.0,19342,2,12219,similarity
5,0,A450,C1350,Alpha,Gamma,0.9999999999999998,5418,2,12219,similarity
6,0,A450,C1450,Alpha,Gamma,0.9999999999999998,3352,2,12219,similarity
7,0,A450,B950,Alpha, Beta,5.0,10528,2,12219,similarity
8,0,A450,B650,Alpha,Beta,5.0,3711,2,12219,similarity
9,0,A450,A150,Alpha,Alpha,4.0,24032,2,12219,similarity
10,0,A450,B750,Alpha,Beta,4.0,6958,2,12219,similarity
11,0,A450,C1150,Alpha,Gamma,0.9999999999999998,4530,2,12219,similarity
12,0,A450,A50,Alpha,Alpha,4.0,18357,2,12219,similarity
13,0,A450,B550,Alpha,Beta,5.0,4755,2,12219,similarity
14,0,A450,B850,Alpha,Beta,5.0,3131,2,12219,similarity
2,1,C1250,C1050,Gamma,Gamma,5.0,2348,2,12219,similarity
3,1,C1250,A350,Gamma,Alpha,0.9999999999999998,24357,2,12219,similarity
4,1,C1250,A250,Gamma,Alpha,0.9999999999999998,2043,2,12219,similarity
5,1,C1250,C1350,Gamma,Gamma,5.0,3005,2,12219,similarity
6,1,C1250,C1450,Gamma,Gamma,5.0,1114,2,12219,similarity
7,1,C1250,B950,Gamma, Beta,5.0,5011,2,12219,similarity
8,1,C1250,B650,Gamma,Beta,4.0,2714,2,12219,similarity
9,1,C1250,A150,Gamma,Alpha,0.9999999999999998,3092,2,12219,similarity
10,1,C1250,B750,Gamma,Beta,2.0,6018,2,12219,similarity
11,1,C1250,C1150,Gamma,Gamma,5.0,2868,2,12219,similarity
12,1,C1250,A50,Gamma,Alpha,0.0,6882,2,12219,similarity
13,1,C1250,B550,Gamma,Beta,2.0,8498,2,12219,similarity
14,1,C1250,B850,Gamma,Beta,4.0,3692,2,12219,similarity
