trial,block,stimId,category,response,rt,condition,id,phase
0,0,A50,Alpha,a,3659,2,12200,study
1,0,A250,Alpha,a,4363,2,12200,study
2,0,A150,Alpha,a,2396,2,12200,study
3,0,A350,Alpha,a,2259,2,12200,study
4,0,A450,Alpha,a,1698,2,12200,study
0,1,A250,Alpha,a,2106,2,12200,study
1,1,A150,Alpha,a,1822,2,12200,study
2,1,A50,Alpha,a,1539,2,12200,study
3,1,A450,Alpha,a,1350,2,12200,study
4,1,A350,Alpha,a,1439,2,12200,study
0,2,A50,Alpha,a,1387,2,12200,study
1,2,A450,Alpha,a,1484,2,12200,study
2,2,A250,Alpha,a,1495,2,12200,study
3,2,A350,Alpha,a,1474,2,12200,study
4,2,A150,Alpha,a,1383,2,12200,study
0,3,A50,Alpha,a,1445,2,12200,study
1,3,A150,Alpha,a,1761,2,12200,study
2,3,A350,Alpha,a,1428,2,12200,study
3,3,A250,Alpha,a,2121,2,12200,study
4,3,A450,Alpha,a,1935,2,12200,study
0,4,A350,Alpha,a,1766,2,12200,study
1,4,A150,Alpha,a,5143,2,12200,study
2,4,A450,Alpha,a,1134,2,12200,study
3,4,A250,Alpha,a,1160,2,12200,study
4,4,A50,Alpha,a,1288,2,12200,study
0,0,A50,Alpha,a,9987,2,12203,study
1,0,A250,Alpha,a,4597,2,12203,study
2,0,A150,Alpha,a,2412,2,12203,study
3,0,A450,Alpha,a,3118,2,12203,study
4,0,A350,Alpha,a,3004,2,12203,study
0,1,A50,Alpha,a,2426,2,12203,study
1,1,A450,Alpha,a,2489,2,12203,study
2,1,A250,Alpha,a,2332,2,12203,study
3,1,A150,Alpha,a,2207,2,12203,study
4,1,A350,Alpha,a,2404,2,12203,study
0,2,A350,Alpha,a,2291,2,12203,study
1,2,A450,Alpha,a,2606,2,12203,study
2,2,A50,Alpha,a,2278,2,12203,study
3,2,A150,Alpha,a,2129,2,12203,study
4,2,A250,Alpha,a,2410,2,12203,study
0,3,A250,Alpha,a,2233,2,12203,study
1,3,A150,Alpha,a,2286,2,12203,study
2,3,A450,Alpha,a,2250,2,12203,study
3,3,A50,Alpha,a,1781,2,12203,study
4,3,A350,Alpha,a,2142,2,12203,study
0,4,A450,Alpha,a,1998,2,12203,study
1,4,A250,Alpha,a,1781,2,12203,study
2,4,A350,Alpha,a,2063,2,12203,study
3,4,A50,Alpha,a,1473,2,12203,study
4,4,A150,Alpha,a,1784,2,12203,study
0,0,A450,Alpha,a,28705,2,12219,study
1,0,A250,Alpha,a,6198,2,12219,study
2,0,A150,Alpha,a,5052,2,12219,study
3,0,A50,Alpha,a,4063,2,12219,study
4,0,A350,Alpha,a,10291,2,12219,study
0,1,A350,Alpha,a,6131,2,12219,study
1,1,A150,Alpha,a,3852,2,12219,study
2,1,A250,Alpha,a,5441,2,12219,study
3,1,A50,Alpha,a,2469,2,12219,study
4,1,A450,Alpha,a,6848,2,12219,study
0,2,A150,Alpha,a,4587,2,12219,study
